song_id,title,artist,genre,subgenre,mood,energy,bpm,valence,danceability,acousticness,popularity,instrumentalness,speechiness,liveness
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones and I,pop,post-teen pop,focused,0.588,98.027,0.513,0.824,0.692,100,0.000104,0.0924,0.149
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,latin,latin hip hop,focused,0.601,116.735,0.457,0.621,0.0522,99,0.0,0.148,0.46
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,pop,dance pop,relaxed,0.796,171.017,0.345,0.513,0.00147,98,0.000209,0.0629,0.0938
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,rap,hip hop,focused,0.586,116.971,0.642,0.896,0.104,98,0.0,0.0559,0.79
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,pop,post-teen pop,relaxed,0.762,120.042,0.553,0.695,0.192,98,0.00244,0.0395,0.0863
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,pop,dance pop,party,0.715,101.085,0.574,0.803,0.295,98,0.000134,0.298,0.0574
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,pop,dance pop,chill,0.32,91.019,0.575,0.764,0.837,98,0.0,0.0546,0.0822
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,pop,post-teen pop,relaxed,0.793,123.941,0.677,0.794,0.0125,97,0.0,0.0842,0.0952
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,pop,electropop,relaxed,0.43,127.087,0.236,0.784,0.123,97,0.0,0.0364,0.0887
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,pop,dance pop,sad,0.225,120.006,0.243,0.704,0.902,97,0.657,0.0994,0.106
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,pop,dance pop,relaxed,0.716,104.994,0.667,0.721,0.0334,96,0.00084,0.0657,0.237
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,pop,dance pop,focused,0.425,135.128,0.562,0.701,0.328,95,0.13,0.375,0.1
41L3O37CECZt3N7ziG2z7l,Yummy,Justin Bieber,pop,dance pop,focused,0.519,145.841,0.495,0.662,0.404,95,0.0,0.106,0.121
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,pop,post-teen pop,focused,0.559,129.989,0.678,0.778,0.128,94,0.0,0.0776,0.399
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,pop,dance pop,focused,0.405,109.891,0.446,0.501,0.751,94,0.0,0.0319,0.105
